[2025-10-02 08:08:10] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-02 08:08:10, Temp: 26.0, Umid: 54.2
[2025-10-02 08:50:42] Dispositivo: Pico W_11f0bb, Leitura: 15, Horario: 2025-10-02 08:50:42, Temp: 25.2, Umid: 55.4
[2025-10-02 08:53:44] Dispositivo: Pico W_11f0bb, Leitura: 16, Horario: 2025-10-02 08:53:45, Temp: 25.3, Umid: 55.5
[2025-10-02 08:56:47] Dispositivo: Pico W_11f0bb, Leitura: 17, Horario: 2025-10-02 08:56:47, Temp: 25.1, Umid: 55.7
[2025-10-02 08:59:49] Dispositivo: Pico W_11f0bb, Leitura: 18, Horario: 2025-10-02 08:59:49, Temp: 25.0, Umid: 55.8
[2025-10-02 09:02:51] Dispositivo: Pico W_11f0bb, Leitura: 19, Horario: 2025-10-02 09:02:51, Temp: 25.2, Umid: 55.2
[2025-10-02 09:05:54] Dispositivo: Pico W_11f0bb, Leitura: 20, Horario: 2025-10-02 09:05:54, Temp: 25.3, Umid: 55.0
[2025-10-02 09:08:56] Dispositivo: Pico W_11f0bb, Leitura: 21, Horario: 2025-10-02 09:08:56, Temp: 25.3, Umid: 54.9
[2025-10-02 09:11:58] Dispositivo: Pico W_11f0bb, Leitura: 22, Horario: 2025-10-02 09:11:58, Temp: 25.3, Umid: 55.3
[2025-10-02 09:15:00] Dispositivo: Pico W_11f0bb, Leitura: 23, Horario: 2025-10-02 09:15:01, Temp: 25.4, Umid: 55.2
[2025-10-02 09:18:03] Dispositivo: Pico W_11f0bb, Leitura: 24, Horario: 2025-10-02 09:18:03, Temp: 25.4, Umid: 54.9
[2025-10-02 09:21:05] Dispositivo: Pico W_11f0bb, Leitura: 25, Horario: 2025-10-02 09:21:05, Temp: 25.5, Umid: 54.9
[2025-10-02 09:24:07] Dispositivo: Pico W_11f0bb, Leitura: 26, Horario: 2025-10-02 09:24:08, Temp: 25.5, Umid: 54.8
[2025-10-02 09:27:11] Dispositivo: Pico W_11f0bb, Leitura: 27, Horario: 2025-10-02 09:27:10, Temp: 25.5, Umid: 54.8
[2025-10-02 09:30:12] Dispositivo: Pico W_11f0bb, Leitura: 28, Horario: 2025-10-02 09:30:12, Temp: 25.6, Umid: 54.7
[2025-10-02 09:33:14] Dispositivo: Pico W_11f0bb, Leitura: 29, Horario: 2025-10-02 09:33:15, Temp: 25.6, Umid: 55.0
[2025-10-02 09:36:17] Dispositivo: Pico W_11f0bb, Leitura: 30, Horario: 2025-10-02 09:36:17, Temp: 25.6, Umid: 54.7
[2025-10-02 09:39:19] Dispositivo: Pico W_11f0bb, Leitura: 31, Horario: 2025-10-02 09:39:19, Temp: 25.6, Umid: 54.9
[2025-10-02 09:40:02] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-02 09:40:02, Temp: 26.0, Umid: 55.3
[2025-10-02 09:40:24] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-02 09:40:24, Temp: 26.1, Umid: 54.8
[2025-10-02 09:40:46] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-02 09:40:47, Temp: 26.1, Umid: 55.3
[2025-10-02 09:41:08] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-10-02 09:41:09, Temp: 25.7, Umid: 55.6
[2025-10-02 09:41:31] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-10-02 09:41:31, Temp: 25.5, Umid: 57.4
[2025-10-02 09:41:53] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-10-02 09:41:54, Temp: 25.2, Umid: 56.8
[2025-10-02 09:42:15] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-10-02 09:42:16, Temp: 24.8, Umid: 57.0
[2025-10-02 09:42:21] Dispositivo: Pico W_11f0bb, Leitura: 32, Horario: 2025-10-02 09:42:21, Temp: 25.6, Umid: 54.7
[2025-10-02 09:42:38] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-10-02 09:42:38, Temp: 24.6, Umid: 58.0
[2025-10-02 09:43:00] Dispositivo: Pico W_11f60f, Leitura: 9, Horario: 2025-10-02 09:43:00, Temp: 24.3, Umid: 58.8
[2025-10-02 09:43:22] Dispositivo: Pico W_11f60f, Leitura: 10, Horario: 2025-10-02 09:43:23, Temp: 24.1, Umid: 59.4
[2025-10-02 09:43:45] Dispositivo: Pico W_11f60f, Leitura: 11, Horario: 2025-10-02 09:43:45, Temp: 23.9, Umid: 60.1
[2025-10-02 09:44:07] Dispositivo: Pico W_11f60f, Leitura: 12, Horario: 2025-10-02 09:44:07, Temp: 23.7, Umid: 60.6
[2025-10-02 09:44:29] Dispositivo: Pico W_11f60f, Leitura: 13, Horario: 2025-10-02 09:44:30, Temp: 23.6, Umid: 61.3
[2025-10-02 09:44:52] Dispositivo: Pico W_11f60f, Leitura: 14, Horario: 2025-10-02 09:44:52, Temp: 23.5, Umid: 61.9
[2025-10-02 09:45:14] Dispositivo: Pico W_11f60f, Leitura: 15, Horario: 2025-10-02 09:45:14, Temp: 23.5, Umid: 62.5
[2025-10-02 09:45:24] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-10-02 09:45:24, Temp: 25.7, Umid: 54.7
[2025-10-02 09:45:36] Dispositivo: Pico W_11f60f, Leitura: 16, Horario: 2025-10-02 09:45:37, Temp: 23.4, Umid: 62.9
[2025-10-02 09:45:58] Dispositivo: Pico W_11f60f, Leitura: 17, Horario: 2025-10-02 09:45:59, Temp: 23.4, Umid: 63.5
[2025-10-02 09:46:21] Dispositivo: Pico W_11f60f, Leitura: 18, Horario: 2025-10-02 09:46:21, Temp: 23.3, Umid: 63.4
[2025-10-02 09:46:43] Dispositivo: Pico W_11f60f, Leitura: 19, Horario: 2025-10-02 09:46:44, Temp: 23.3, Umid: 63.5
[2025-10-02 09:47:05] Dispositivo: Pico W_11f60f, Leitura: 20, Horario: 2025-10-02 09:47:06, Temp: 23.3, Umid: 63.6
[2025-10-02 09:47:28] Dispositivo: Pico W_11f60f, Leitura: 21, Horario: 2025-10-02 09:47:28, Temp: 23.3, Umid: 63.7
[2025-10-02 09:47:50] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-10-02 09:47:50, Temp: 23.3, Umid: 63.4
[2025-10-02 09:48:12] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-10-02 09:48:13, Temp: 23.2, Umid: 63.0
[2025-10-02 09:48:26] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-10-02 09:48:26, Temp: 25.6, Umid: 55.2
[2025-10-02 09:48:35] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-10-02 09:48:35, Temp: 23.2, Umid: 63.0
[2025-10-02 09:48:57] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-10-02 09:48:57, Temp: 23.1, Umid: 63.0
[2025-10-02 09:49:19] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-10-02 09:49:20, Temp: 23.1, Umid: 63.3
[2025-10-02 09:49:42] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-10-02 09:49:42, Temp: 23.0, Umid: 63.7
[2025-10-02 09:50:04] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-10-02 09:50:04, Temp: 23.0, Umid: 63.9
[2025-10-02 09:50:26] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-10-02 09:50:27, Temp: 23.0, Umid: 64.2
[2025-10-02 09:50:48] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-10-02 09:50:49, Temp: 23.0, Umid: 64.4
[2025-10-02 09:51:11] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-10-02 09:51:11, Temp: 23.0, Umid: 64.4
[2025-10-02 09:51:28] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-10-02 09:51:28, Temp: 25.6, Umid: 55.0
[2025-10-02 09:51:33] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-10-02 09:51:34, Temp: 23.0, Umid: 64.2
[2025-10-02 09:51:55] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-10-02 09:51:56, Temp: 23.0, Umid: 64.2
[2025-10-02 09:52:18] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-10-02 09:52:18, Temp: 23.0, Umid: 64.2
[2025-10-02 09:52:40] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-10-02 09:52:40, Temp: 22.9, Umid: 64.0
[2025-10-02 09:53:02] Dispositivo: Pico W_11f60f, Leitura: 36, Horario: 2025-10-02 09:53:03, Temp: 22.9, Umid: 64.1
[2025-10-02 09:53:25] Dispositivo: Pico W_11f60f, Leitura: 37, Horario: 2025-10-02 09:53:25, Temp: 22.9, Umid: 64.1
[2025-10-02 09:53:47] Dispositivo: Pico W_11f60f, Leitura: 38, Horario: 2025-10-02 09:53:47, Temp: 22.9, Umid: 64.3
[2025-10-02 09:54:09] Dispositivo: Pico W_11f60f, Leitura: 39, Horario: 2025-10-02 09:54:10, Temp: 22.9, Umid: 64.5
[2025-10-02 09:54:30] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-10-02 09:54:31, Temp: 25.7, Umid: 54.9
[2025-10-02 09:54:32] Dispositivo: Pico W_11f60f, Leitura: 40, Horario: 2025-10-02 09:54:32, Temp: 22.9, Umid: 64.3
[2025-10-02 09:54:54] Dispositivo: Pico W_11f60f, Leitura: 41, Horario: 2025-10-02 09:54:54, Temp: 22.9, Umid: 64.1
[2025-10-02 09:55:16] Dispositivo: Pico W_11f60f, Leitura: 42, Horario: 2025-10-02 09:55:17, Temp: 22.9, Umid: 64.3
[2025-10-02 09:55:39] Dispositivo: Pico W_11f60f, Leitura: 43, Horario: 2025-10-02 09:55:39, Temp: 22.9, Umid: 64.4
[2025-10-02 09:56:01] Dispositivo: Pico W_11f60f, Leitura: 44, Horario: 2025-10-02 09:56:01, Temp: 22.9, Umid: 64.6
[2025-10-02 09:56:23] Dispositivo: Pico W_11f60f, Leitura: 45, Horario: 2025-10-02 09:56:24, Temp: 22.9, Umid: 64.5
[2025-10-02 09:56:45] Dispositivo: Pico W_11f60f, Leitura: 46, Horario: 2025-10-02 09:56:46, Temp: 22.8, Umid: 64.3
[2025-10-02 09:57:08] Dispositivo: Pico W_11f60f, Leitura: 47, Horario: 2025-10-02 09:57:08, Temp: 22.9, Umid: 64.5
[2025-10-02 09:57:30] Dispositivo: Pico W_11f60f, Leitura: 48, Horario: 2025-10-02 09:57:30, Temp: 22.9, Umid: 64.8
[2025-10-02 09:57:33] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-10-02 09:57:33, Temp: 25.7, Umid: 54.8
[2025-10-02 09:57:52] Dispositivo: Pico W_11f60f, Leitura: 49, Horario: 2025-10-02 09:57:53, Temp: 22.9, Umid: 65.0
[2025-10-02 09:58:15] Dispositivo: Pico W_11f60f, Leitura: 50, Horario: 2025-10-02 09:58:15, Temp: 22.9, Umid: 65.0
[2025-10-02 09:58:37] Dispositivo: Pico W_11f60f, Leitura: 51, Horario: 2025-10-02 09:58:37, Temp: 22.9, Umid: 64.9
[2025-10-02 09:58:59] Dispositivo: Pico W_11f60f, Leitura: 52, Horario: 2025-10-02 09:59:00, Temp: 22.9, Umid: 64.8
[2025-10-02 09:59:22] Dispositivo: Pico W_11f60f, Leitura: 53, Horario: 2025-10-02 09:59:22, Temp: 22.9, Umid: 64.7
[2025-10-02 09:59:44] Dispositivo: Pico W_11f60f, Leitura: 54, Horario: 2025-10-02 09:59:44, Temp: 22.9, Umid: 64.8
[2025-10-02 10:00:06] Dispositivo: Pico W_11f60f, Leitura: 55, Horario: 2025-10-02 10:00:07, Temp: 22.9, Umid: 64.8
[2025-10-02 10:00:28] Dispositivo: Pico W_11f60f, Leitura: 56, Horario: 2025-10-02 10:00:29, Temp: 22.9, Umid: 64.7
[2025-10-02 10:00:35] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-10-02 10:00:35, Temp: 25.7, Umid: 55.1
[2025-10-02 10:00:51] Dispositivo: Pico W_11f60f, Leitura: 57, Horario: 2025-10-02 10:00:51, Temp: 22.9, Umid: 64.7
[2025-10-02 10:01:14] Dispositivo: Pico W_11f60f, Leitura: 58, Horario: 2025-10-02 10:01:14, Temp: 22.9, Umid: 64.5
[2025-10-02 10:01:35] Dispositivo: Pico W_11f60f, Leitura: 59, Horario: 2025-10-02 10:01:36, Temp: 22.9, Umid: 64.3
[2025-10-02 10:01:58] Dispositivo: Pico W_11f60f, Leitura: 60, Horario: 2025-10-02 10:01:58, Temp: 22.9, Umid: 64.5
[2025-10-02 10:02:20] Dispositivo: Pico W_11f60f, Leitura: 61, Horario: 2025-10-02 10:02:20, Temp: 22.9, Umid: 64.6
[2025-10-02 10:02:42] Dispositivo: Pico W_11f60f, Leitura: 62, Horario: 2025-10-02 10:02:43, Temp: 23.0, Umid: 64.8
[2025-10-02 10:03:05] Dispositivo: Pico W_11f60f, Leitura: 63, Horario: 2025-10-02 10:03:05, Temp: 23.0, Umid: 64.7
[2025-10-02 10:03:27] Dispositivo: Pico W_11f60f, Leitura: 64, Horario: 2025-10-02 10:03:27, Temp: 23.0, Umid: 64.4
[2025-10-02 10:03:37] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-10-02 10:03:38, Temp: 25.7, Umid: 55.1
[2025-10-02 10:03:49] Dispositivo: Pico W_11f60f, Leitura: 65, Horario: 2025-10-02 10:03:50, Temp: 23.0, Umid: 64.6
[2025-10-02 10:04:12] Dispositivo: Pico W_11f60f, Leitura: 66, Horario: 2025-10-02 10:04:12, Temp: 23.0, Umid: 64.5
[2025-10-02 10:04:34] Dispositivo: Pico W_11f60f, Leitura: 67, Horario: 2025-10-02 10:04:34, Temp: 23.0, Umid: 64.6
[2025-10-02 10:04:56] Dispositivo: Pico W_11f60f, Leitura: 68, Horario: 2025-10-02 10:04:57, Temp: 23.0, Umid: 64.5
[2025-10-02 10:05:18] Dispositivo: Pico W_11f60f, Leitura: 69, Horario: 2025-10-02 10:05:19, Temp: 23.1, Umid: 64.3
[2025-10-02 10:05:41] Dispositivo: Pico W_11f60f, Leitura: 70, Horario: 2025-10-02 10:05:41, Temp: 23.1, Umid: 64.1
[2025-10-02 10:06:03] Dispositivo: Pico W_11f60f, Leitura: 71, Horario: 2025-10-02 10:06:04, Temp: 23.1, Umid: 64.0
[2025-10-02 10:06:26] Dispositivo: Pico W_11f60f, Leitura: 72, Horario: 2025-10-02 10:06:26, Temp: 23.1, Umid: 64.2
[2025-10-02 10:06:40] Dispositivo: Pico W_11f0bb, Leitura: 40, Horario: 2025-10-02 10:06:40, Temp: 25.7, Umid: 55.0
[2025-10-02 10:06:48] Dispositivo: Pico W_11f60f, Leitura: 73, Horario: 2025-10-02 10:06:48, Temp: 23.1, Umid: 64.2
[2025-10-02 10:07:10] Dispositivo: Pico W_11f60f, Leitura: 74, Horario: 2025-10-02 10:07:10, Temp: 23.0, Umid: 64.1
[2025-10-02 10:07:32] Dispositivo: Pico W_11f60f, Leitura: 75, Horario: 2025-10-02 10:07:33, Temp: 23.0, Umid: 63.9
[2025-10-02 10:07:55] Dispositivo: Pico W_11f60f, Leitura: 76, Horario: 2025-10-02 10:07:55, Temp: 23.0, Umid: 64.2
[2025-10-02 10:08:17] Dispositivo: Pico W_11f60f, Leitura: 77, Horario: 2025-10-02 10:08:17, Temp: 23.0, Umid: 64.3
[2025-10-02 10:08:39] Dispositivo: Pico W_11f60f, Leitura: 78, Horario: 2025-10-02 10:08:40, Temp: 23.0, Umid: 64.4
[2025-10-02 10:09:02] Dispositivo: Pico W_11f60f, Leitura: 79, Horario: 2025-10-02 10:09:02, Temp: 23.0, Umid: 64.6
[2025-10-02 10:09:24] Dispositivo: Pico W_11f60f, Leitura: 80, Horario: 2025-10-02 10:09:24, Temp: 23.1, Umid: 64.8
[2025-10-02 10:09:46] Dispositivo: Pico W_11f60f, Leitura: 81, Horario: 2025-10-02 10:09:47, Temp: 23.1, Umid: 64.8
[2025-10-02 10:10:08] Dispositivo: Pico W_11f60f, Leitura: 82, Horario: 2025-10-02 10:10:09, Temp: 23.1, Umid: 64.5
[2025-10-02 10:10:31] Dispositivo: Pico W_11f60f, Leitura: 83, Horario: 2025-10-02 10:10:31, Temp: 23.1, Umid: 64.5
[2025-10-02 10:10:53] Dispositivo: Pico W_11f60f, Leitura: 84, Horario: 2025-10-02 10:10:54, Temp: 23.1, Umid: 64.6
[2025-10-02 10:11:15] Dispositivo: Pico W_11f60f, Leitura: 85, Horario: 2025-10-02 10:11:16, Temp: 23.2, Umid: 64.7
[2025-10-02 10:11:38] Dispositivo: Pico W_11f60f, Leitura: 86, Horario: 2025-10-02 10:11:38, Temp: 23.2, Umid: 64.7
[2025-10-02 10:12:00] Dispositivo: Pico W_11f60f, Leitura: 87, Horario: 2025-10-02 10:12:01, Temp: 23.2, Umid: 64.8
[2025-10-02 10:12:22] Dispositivo: Pico W_11f60f, Leitura: 88, Horario: 2025-10-02 10:12:23, Temp: 23.2, Umid: 64.6
[2025-10-02 10:12:44] Dispositivo: Pico W_11f0bb, Leitura: 42, Horario: 2025-10-02 10:12:45, Temp: 25.6, Umid: 55.0
[2025-10-02 10:12:45] Dispositivo: Pico W_11f60f, Leitura: 89, Horario: 2025-10-02 10:12:45, Temp: 23.2, Umid: 64.5
[2025-10-02 10:13:07] Dispositivo: Pico W_11f60f, Leitura: 90, Horario: 2025-10-02 10:13:07, Temp: 23.3, Umid: 64.3
[2025-10-02 10:13:29] Dispositivo: Pico W_11f60f, Leitura: 91, Horario: 2025-10-02 10:13:30, Temp: 23.3, Umid: 64.2
[2025-10-02 10:13:52] Dispositivo: Pico W_11f60f, Leitura: 92, Horario: 2025-10-02 10:13:52, Temp: 23.3, Umid: 64.1
[2025-10-02 10:14:14] Dispositivo: Pico W_11f60f, Leitura: 93, Horario: 2025-10-02 10:14:14, Temp: 23.4, Umid: 64.1
[2025-10-02 10:14:36] Dispositivo: Pico W_11f60f, Leitura: 94, Horario: 2025-10-02 10:14:37, Temp: 23.4, Umid: 64.3
[2025-10-02 10:14:59] Dispositivo: Pico W_11f60f, Leitura: 95, Horario: 2025-10-02 10:14:59, Temp: 23.4, Umid: 64.6
[2025-10-02 10:15:21] Dispositivo: Pico W_11f60f, Leitura: 96, Horario: 2025-10-02 10:15:21, Temp: 23.5, Umid: 64.6
[2025-10-02 10:15:43] Dispositivo: Pico W_11f60f, Leitura: 97, Horario: 2025-10-02 10:15:44, Temp: 23.5, Umid: 64.3
[2025-10-02 10:15:47] Dispositivo: Pico W_11f0bb, Leitura: 43, Horario: 2025-10-02 10:15:47, Temp: 25.6, Umid: 55.4
[2025-10-02 10:16:05] Dispositivo: Pico W_11f60f, Leitura: 98, Horario: 2025-10-02 10:16:06, Temp: 23.5, Umid: 63.6
[2025-10-02 10:16:28] Dispositivo: Pico W_11f60f, Leitura: 99, Horario: 2025-10-02 10:16:28, Temp: 23.5, Umid: 62.9
[2025-10-02 10:16:50] Dispositivo: Pico W_11f60f, Leitura: 100, Horario: 2025-10-02 10:16:51, Temp: 23.5, Umid: 62.6
[2025-10-02 10:17:12] Dispositivo: Pico W_11f60f, Leitura: 101, Horario: 2025-10-02 10:17:13, Temp: 23.4, Umid: 62.4
[2025-10-02 10:17:35] Dispositivo: Pico W_11f60f, Leitura: 102, Horario: 2025-10-02 10:17:35, Temp: 23.4, Umid: 62.5
[2025-10-02 10:17:57] Dispositivo: Pico W_11f60f, Leitura: 103, Horario: 2025-10-02 10:17:57, Temp: 23.3, Umid: 62.7
[2025-10-02 10:18:19] Dispositivo: Pico W_11f60f, Leitura: 104, Horario: 2025-10-02 10:18:20, Temp: 23.3, Umid: 62.8
[2025-10-02 10:18:42] Dispositivo: Pico W_11f60f, Leitura: 105, Horario: 2025-10-02 10:18:42, Temp: 23.3, Umid: 62.9
[2025-10-02 10:18:49] Dispositivo: Pico W_11f0bb, Leitura: 44, Horario: 2025-10-02 10:18:49, Temp: 25.4, Umid: 55.9
[2025-10-02 10:19:04] Dispositivo: Pico W_11f60f, Leitura: 106, Horario: 2025-10-02 10:19:04, Temp: 23.3, Umid: 63.0
[2025-10-02 10:19:26] Dispositivo: Pico W_11f60f, Leitura: 107, Horario: 2025-10-02 10:19:27, Temp: 23.3, Umid: 63.1
[2025-10-02 10:19:49] Dispositivo: Pico W_11f60f, Leitura: 108, Horario: 2025-10-02 10:19:49, Temp: 23.3, Umid: 63.2
[2025-10-02 10:20:11] Dispositivo: Pico W_11f60f, Leitura: 109, Horario: 2025-10-02 10:20:11, Temp: 23.3, Umid: 63.2
[2025-10-02 10:20:33] Dispositivo: Pico W_11f60f, Leitura: 110, Horario: 2025-10-02 10:20:34, Temp: 23.3, Umid: 63.1
[2025-10-02 10:20:55] Dispositivo: Pico W_11f60f, Leitura: 111, Horario: 2025-10-02 10:20:56, Temp: 23.3, Umid: 62.9
[2025-10-02 10:21:18] Dispositivo: Pico W_11f60f, Leitura: 112, Horario: 2025-10-02 10:21:18, Temp: 23.3, Umid: 63.0
[2025-10-02 10:21:40] Dispositivo: Pico W_11f60f, Leitura: 113, Horario: 2025-10-02 10:21:41, Temp: 23.3, Umid: 63.4
[2025-10-02 10:21:51] Dispositivo: Pico W_11f0bb, Leitura: 45, Horario: 2025-10-02 10:21:52, Temp: 25.6, Umid: 55.5
[2025-10-02 10:22:02] Dispositivo: Pico W_11f60f, Leitura: 114, Horario: 2025-10-02 10:22:03, Temp: 23.3, Umid: 63.4
[2025-10-02 10:22:25] Dispositivo: Pico W_11f60f, Leitura: 115, Horario: 2025-10-02 10:22:25, Temp: 23.4, Umid: 63.4
[2025-10-02 10:22:47] Dispositivo: Pico W_11f60f, Leitura: 116, Horario: 2025-10-02 10:22:47, Temp: 23.4, Umid: 63.4
[2025-10-02 10:23:09] Dispositivo: Pico W_11f60f, Leitura: 117, Horario: 2025-10-02 10:23:10, Temp: 23.4, Umid: 63.5
[2025-10-02 10:23:32] Dispositivo: Pico W_11f60f, Leitura: 118, Horario: 2025-10-02 10:23:32, Temp: 23.4, Umid: 63.4
[2025-10-02 10:23:54] Dispositivo: Pico W_11f60f, Leitura: 119, Horario: 2025-10-02 10:23:54, Temp: 23.4, Umid: 63.1
[2025-10-02 10:24:16] Dispositivo: Pico W_11f60f, Leitura: 120, Horario: 2025-10-02 10:24:17, Temp: 23.5, Umid: 63.3
[2025-10-02 10:24:39] Dispositivo: Pico W_11f60f, Leitura: 121, Horario: 2025-10-02 10:24:39, Temp: 23.5, Umid: 63.5
[2025-10-02 10:24:54] Dispositivo: Pico W_11f0bb, Leitura: 46, Horario: 2025-10-02 10:24:54, Temp: 25.7, Umid: 55.1
[2025-10-02 10:25:01] Dispositivo: Pico W_11f60f, Leitura: 122, Horario: 2025-10-02 10:25:01, Temp: 23.5, Umid: 63.3
[2025-10-02 10:25:23] Dispositivo: Pico W_11f60f, Leitura: 123, Horario: 2025-10-02 10:25:24, Temp: 23.5, Umid: 63.3
[2025-10-02 10:25:45] Dispositivo: Pico W_11f60f, Leitura: 124, Horario: 2025-10-02 10:25:46, Temp: 23.5, Umid: 63.1
[2025-10-02 10:26:08] Dispositivo: Pico W_11f60f, Leitura: 125, Horario: 2025-10-02 10:26:08, Temp: 23.5, Umid: 62.8
[2025-10-02 10:26:30] Dispositivo: Pico W_11f60f, Leitura: 126, Horario: 2025-10-02 10:26:31, Temp: 23.4, Umid: 62.9
[2025-10-02 10:26:52] Dispositivo: Pico W_11f60f, Leitura: 127, Horario: 2025-10-02 10:26:53, Temp: 23.4, Umid: 63.1
[2025-10-02 10:27:15] Dispositivo: Pico W_11f60f, Leitura: 128, Horario: 2025-10-02 10:27:15, Temp: 23.4, Umid: 63.1
[2025-10-02 10:27:37] Dispositivo: Pico W_11f60f, Leitura: 129, Horario: 2025-10-02 10:27:37, Temp: 23.4, Umid: 63.1
[2025-10-02 10:27:56] Dispositivo: Pico W_11f0bb, Leitura: 47, Horario: 2025-10-02 10:27:56, Temp: 25.7, Umid: 55.1
[2025-10-02 10:27:59] Dispositivo: Pico W_11f60f, Leitura: 130, Horario: 2025-10-02 10:28:00, Temp: 23.4, Umid: 62.8
[2025-10-02 10:28:22] Dispositivo: Pico W_11f60f, Leitura: 131, Horario: 2025-10-02 10:28:22, Temp: 23.4, Umid: 62.7
[2025-10-02 10:28:44] Dispositivo: Pico W_11f60f, Leitura: 132, Horario: 2025-10-02 10:28:44, Temp: 23.4, Umid: 62.8
[2025-10-02 10:29:06] Dispositivo: Pico W_11f60f, Leitura: 133, Horario: 2025-10-02 10:29:07, Temp: 23.4, Umid: 62.9
[2025-10-02 10:29:29] Dispositivo: Pico W_11f60f, Leitura: 134, Horario: 2025-10-02 10:29:29, Temp: 23.4, Umid: 63.3
[2025-10-02 10:29:51] Dispositivo: Pico W_11f60f, Leitura: 135, Horario: 2025-10-02 10:29:51, Temp: 23.4, Umid: 63.1
[2025-10-02 10:30:13] Dispositivo: Pico W_11f60f, Leitura: 136, Horario: 2025-10-02 10:30:14, Temp: 23.4, Umid: 63.3
[2025-10-02 10:30:35] Dispositivo: Pico W_11f60f, Leitura: 137, Horario: 2025-10-02 10:30:36, Temp: 23.4, Umid: 63.2
[2025-10-02 10:30:58] Dispositivo: Pico W_11f60f, Leitura: 138, Horario: 2025-10-02 10:30:58, Temp: 23.4, Umid: 63.4
[2025-10-02 10:30:58] Dispositivo: Pico W_11f0bb, Leitura: 48, Horario: 2025-10-02 10:30:59, Temp: 25.7, Umid: 54.9
